station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,30.7,75.0,3.1,93.0,,0.0,5.0,735.0,,no2,29.3,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,30.7,75.0,3.1,93.0,,0.0,5.0,735.0,,pm25,39.0,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,30.7,75.0,3.1,93.0,,0.0,5.0,735.0,,pm10,145.0,"Anand Vihar, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,28.7,72.0,,88.0,0.0,0.0,5.0,995.0,,toluene,8.6,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,28.7,72.0,,88.0,0.0,0.0,5.0,995.0,,pm25,23.0,"Bawana, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,29.2,78.0,1.2,61.0,0.0,0.0,8.0,980.0,,benzene,0.3,"Ashok Vihar, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,,,,,,0.0,,,,ozone,11.35,"Burari Crossing, Delhi - IMD",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,30.7,75.0,3.1,93.0,,0.0,5.0,735.0,,no,6.8,"Anand Vihar, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,,,,,,0.0,,,,no2,9.24,"Burari Crossing, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,,,,,,0.0,,,,no,3.4,"Burari Crossing, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,,,,,,0.0,,,,co,0.96,"Burari Crossing, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,28.7,72.0,,88.0,0.0,0.0,5.0,995.0,,ozone,15.9,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,28.7,72.0,,88.0,0.0,0.0,5.0,995.0,,pm10,54.0,"Bawana, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,30.7,75.0,3.1,93.0,,0.0,5.0,735.0,,nh3,11.2,"Anand Vihar, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,,,,,,0.0,,,,xylene,22.39,"Aya Nagar, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,,,,,,0.0,,,,pm10,40.06,"Burari Crossing, Delhi - IMD",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,29.2,78.0,1.2,61.0,0.0,0.0,8.0,980.0,,co,0.89,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,29.2,78.0,1.2,61.0,0.0,0.0,8.0,980.0,,nh3,28.1,"Ashok Vihar, Delhi - DPCC",0
