station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,nh3,33.2,"Bawana, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,pm25,16.04,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,pm10,167.18,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,ozone,58.26,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,no2,21.01,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,no,4.8,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,co,1.64,"Aya Nagar, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,no,4.2,"Bawana, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,pm25,11.09,"Burari Crossing, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,benzene,2.1,"Bawana, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,ozone,24.22,"Burari Crossing, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,pm10,140.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,ozone,12.5,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,no2,19.9,"Bawana, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.0,57.0,1.4,139.0,0.0,0.0,10.0,982.0,,toluene,1.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.0,57.0,1.4,139.0,0.0,0.0,10.0,982.0,,so2,9.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.0,57.0,1.4,139.0,0.0,0.0,10.0,982.0,,pm25,47.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.0,57.0,1.4,139.0,0.0,0.0,10.0,982.0,,pm10,145.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.0,57.0,1.4,139.0,0.0,0.0,10.0,982.0,,nh3,33.6,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.0,57.0,1.4,139.0,0.0,0.0,10.0,982.0,,co,1.09,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.0,57.0,1.4,139.0,0.0,0.0,10.0,982.0,,benzene,0.0,"Ashok Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,toluene,24.4,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,so2,23.2,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,pm25,36.0,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,pm10,124.0,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,ozone,10.2,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,no2,45.8,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,no,6.1,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,nh3,19.3,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.9,61.0,0.3,173.0,,0.0,5.0,743.0,,benzene,1.6,"Anand Vihar, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,pm25,59.0,"Bawana, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,,,,,,0.0,,,,pm10,106.04,"Burari Crossing, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,32.1,61.0,0.4,133.0,0.0,0.0,6.0,990.0,,toluene,7.2,"Bawana, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.4,59.0,,255.0,0.0,0.0,4.0,978.0,,benzene,0.2,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.4,59.0,,255.0,0.0,0.0,4.0,978.0,,toluene,0.2,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.4,59.0,,255.0,0.0,0.0,4.0,978.0,,so2,18.3,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.4,59.0,,255.0,0.0,0.0,4.0,978.0,,pm25,57.0,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-06-14 00:00:00+00:00,2025-06-14 00:00:00+00:00,31.4,59.0,,255.0,0.0,0.0,4.0,978.0,,pm10,156.0,"Alipur, Delhi - DPCC",0
