station_id,state,city,station_name,timestamp,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,pollutant,value,station,hour,day_of_week,season,time_of_day,value_normalised
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,co,5.53,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.11066639983990395
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,221.23,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.22166554775097946
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,448.37,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.44877287104135805
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,14.19,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.02852487377039287
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,216.08,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.21650517540255917
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,421.56,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.4219381831284782
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,14.39,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.028927199211442135
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,co,5.79,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.11586952171302782
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:30:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,221.38,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.221815849858215
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-04 00:30:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,409.72,"Burari Crossing, Delhi - IMD",0,1,autumn,night,0.41008728029787406
