station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,co,1.58,"Bawana, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,,,,,,0.0,,,,no2,22.78,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,,,,,,0.0,,,,no,7.98,"Aya Nagar, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,nh3,22.0,"Bawana, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,,,,,,0.0,,,,ozone,11.38,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,,,,,,0.0,,,,pm10,290.3,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,,,,,,0.0,,,,pm25,80.92,"Aya Nagar, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,toluene,36.2,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,so2,5.2,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,pm25,249.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,pm10,388.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,ozone,3.5,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,no2,30.7,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,10.0,90.0,0.5,121.0,0.0,0.0,6.0,988.0,,benzene,6.5,"Bawana, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-04 00:00:00+00:00,2024-01-04 00:00:00+00:00,,,,,,0.0,,,,co,1.85,"Aya Nagar, Delhi - IMD",0
