station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,8.8,83.0,,217.0,0.0,0.0,5.0,974.0,,benzene,2.9,"Alipur, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,6.6,90.0,0.3,178.0,0.0,0.0,6.0,988.0,,ozone,4.2,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,6.6,90.0,0.3,178.0,0.0,0.0,6.0,988.0,,pm10,354.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,6.6,90.0,0.3,178.0,0.0,0.0,6.0,988.0,,pm25,217.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,6.6,90.0,0.3,178.0,0.0,0.0,6.0,988.0,,so2,5.4,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,6.6,90.0,0.3,178.0,0.0,0.0,6.0,988.0,,toluene,15.5,"Bawana, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,9.0,89.0,1.3,55.0,0.0,0.0,5.0,983.0,,ozone,4.4,"Ashok Vihar, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,8.8,83.0,,217.0,0.0,0.0,5.0,974.0,,co,1.13,"Alipur, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,10.6,82.0,0.3,82.0,,0.0,5.0,742.0,,toluene,20.4,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-07 00:00:00+00:00,2024-01-07 00:00:00+00:00,10.6,82.0,0.3,82.0,,0.0,5.0,742.0,,so2,18.3,"Anand Vihar, Delhi - DPCC",0
