station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,,,,,,0.0,,,,co,1.87,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,,,,,,0.0,,,,no,30.34,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,,,,,,0.0,,,,no2,29.88,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,,,,,,0.0,,,,ozone,10.63,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,,,,,,0.0,,,,pm10,354.9,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,,,,,,0.0,,,,pm25,99.58,"Aya Nagar, Delhi - IMD",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,21.9,78.0,0.3,266.0,,0.0,5.0,736.0,,ozone,10.4,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,21.9,78.0,0.3,266.0,,0.0,5.0,736.0,,no2,50.6,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,21.9,78.0,0.3,266.0,,0.0,5.0,736.0,,no,82.4,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,21.9,78.0,0.3,266.0,,0.0,5.0,736.0,,nh3,7.2,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,21.9,78.0,0.3,266.0,,0.0,5.0,736.0,,benzene,10.7,"Anand Vihar, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,nh3,13.6,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,no,4.1,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,no2,25.1,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,ozone,16.5,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,pm10,199.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,pm25,110.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,benzene,1.4,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-10-11 00:00:00+00:00,2025-10-11 00:00:00+00:00,25.0,89.0,0.3,233.0,0.0,0.0,5.0,996.0,,toluene,11.0,"Bawana, Delhi - DPCC",0
