station_id,state,city,station_name,timestamp,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,pollutant,value,station,hour,day_of_week,season,time_of_day,value_normalised
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,co,0.27,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.0054032419451671004
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no,7.47,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.014926269032993857
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,75.79,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.07593262457539655
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,200.27,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.20044440885614767
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,26.11,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.05250347005692904
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no2,17.41,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.034842507859588694
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,111.89,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.11210533171675066
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,192.72,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.19288745645994315
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,29.21,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.05873951439319265
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-04-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no2,16.49,"Burari Crossing, Delhi - IMD",0,3,spring,night,0.03300026031758745
