station_id,state,city,station_name,timestamp,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,pollutant,value,station,hour,day_of_week,season,time_of_day,value_normalised
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,137.97,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.13808704007687073
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,19.63,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.039468125766932864
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no2,13.59,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.027193175674322674
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no,8.07,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.0161267732447628
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,co,1.66,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.033219931959175504
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,33.17,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.033226785839537476
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no,8.18,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.016346865683587106
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,42.54,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.04261565747151775
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no2,14.32,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.028654959050041052
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,20.36,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.04093661362676268
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-18 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,co,1.66,"Burari Crossing, Delhi - IMD",0,6,summer,night,0.033219931959175504
