station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,pm25,5.38,"Aya Nagar, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,no2,12.7,"Burari Crossing, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,no,0.63,"Burari Crossing, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,30.9,75.0,1.9,287.0,0.0,0.0,6.0,993.0,,toluene,18.6,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,30.9,75.0,1.9,287.0,0.0,0.0,6.0,993.0,,pm25,31.0,"Bawana, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,nh3,25.7,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,no,2.6,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,no2,20.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,ozone,41.9,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,pm10,37.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,pm25,17.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,so2,10.2,"Ashok Vihar, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,ozone,28.69,"Burari Crossing, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,xylene,21.64,"Aya Nagar, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,30.9,75.0,1.9,287.0,0.0,0.0,6.0,993.0,,pm10,73.0,"Bawana, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,co,0.76,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,no,8.19,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,no2,8.41,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,pm10,48.9,"Aya Nagar, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,30.9,75.0,1.9,287.0,0.0,0.0,6.0,993.0,,ozone,12.1,"Bawana, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,31.4,80.0,1.2,60.0,0.0,0.0,8.0,981.0,,toluene,1.4,"Ashok Vihar, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,,,,,,0.0,,,,co,0.29,"Burari Crossing, Delhi - IMD",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,32.0,73.0,,119.0,0.0,0.0,5.0,978.0,,toluene,1.4,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,32.0,73.0,,119.0,0.0,0.0,5.0,978.0,,benzene,0.1,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,32.0,73.0,,119.0,0.0,0.0,5.0,978.0,,co,0.25,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,32.0,73.0,,119.0,0.0,0.0,5.0,978.0,,nh3,21.2,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,32.0,73.0,,119.0,0.0,0.0,5.0,978.0,,no,1.0,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,32.0,73.0,,119.0,0.0,0.0,5.0,978.0,,no2,25.5,"Alipur, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,30.9,75.0,1.9,287.0,0.0,0.0,6.0,993.0,,benzene,0.4,"Bawana, Delhi - DPCC",0
