station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,19.6,63.0,0.9,325.0,0.0,0.0,6.0,996.0,,pm10,234.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,19.6,63.0,0.9,325.0,0.0,0.0,6.0,996.0,,no2,37.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,19.6,63.0,0.9,325.0,0.0,0.0,6.0,996.0,,ozone,5.4,"Bawana, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,15.5,75.0,,338.0,0.0,0.0,4.0,992.0,,toluene,3.7,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,15.5,75.0,,338.0,0.0,0.0,4.0,992.0,,so2,12.3,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,15.5,75.0,,338.0,0.0,0.0,4.0,992.0,,pm25,105.0,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,15.5,75.0,,338.0,0.0,0.0,4.0,992.0,,pm10,175.0,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,15.5,75.0,,338.0,0.0,0.0,4.0,992.0,,ozone,3.8,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,15.5,75.0,,338.0,0.0,0.0,4.0,992.0,,no2,30.6,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-03-24 00:00:00+00:00,2025-03-24 00:00:00+00:00,15.5,75.0,,338.0,0.0,0.0,4.0,992.0,,no,1.9,"Alipur, Delhi - DPCC",0
