station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,benzene,0.7,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,co,0.89,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,eth_benzene,0.3,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,mp_xylene,0.2,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,nh3,29.7,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,no2,33.2,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,ozone,53.8,"Alipur, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,14.4,79.0,0.7,145.0,0.0,0.0,6.0,988.0,,benzene,1.3,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,14.4,79.0,0.7,145.0,0.0,0.0,6.0,988.0,,co,0.65,"Bawana, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-02-29 00:00:00+00:00,2024-02-29 00:00:00+00:00,12.2,65.0,,286.0,0.0,0.0,5.0,975.0,,pm10,106.0,"Alipur, Delhi - DPCC",0
