station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,7.3,83.0,0.5,142.0,0.0,0.0,6.0,988.0,,toluene,6.6,"Bawana, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,pm25,66.59,"Burari Crossing, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,pm10,149.21,"Burari Crossing, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,ozone,31.23,"Burari Crossing, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,7.3,83.0,0.5,142.0,0.0,0.0,6.0,988.0,,benzene,2.3,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,7.3,83.0,0.5,142.0,0.0,0.0,6.0,988.0,,co,0.89,"Bawana, Delhi - DPCC",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,co,2.54,"Burari Crossing, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,no,5.91,"Burari Crossing, Delhi - IMD",0
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,no2,2.47,"Burari Crossing, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,co,1.2,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,no,62.87,"Aya Nagar, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,7.3,83.0,0.5,142.0,0.0,0.0,6.0,988.0,,nh3,20.9,"Bawana, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,ozone,14.54,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,pm10,72.72,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,,,,,,0.0,,,,pm25,0.88,"Aya Nagar, Delhi - IMD",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-02-09 00:00:00+00:00,2024-02-09 00:00:00+00:00,7.3,83.0,0.5,142.0,0.0,0.0,6.0,988.0,,no,3.1,"Bawana, Delhi - DPCC",0
