station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,pm25,38.0,"Bawana, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,ozone,9.7,"Alipur, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,no,2.9,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,no2,39.7,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,ozone,19.1,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,pm10,81.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,pm25,35.0,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,so2,7.3,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,toluene,3.5,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,benzene,0.7,"Ashok Vihar, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,nh3,30.6,"Ashok Vihar, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,benzene,0.1,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,co,0.9,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,nh3,25.5,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,no,2.3,"Alipur, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,no2,34.8,"Alipur, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,no,7.2,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,no2,42.9,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,ozone,13.5,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,nh3,47.8,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,benzene,0.2,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,pm10,123.0,"Bawana, Delhi - DPCC",0
site_1560,Delhi,Delhi,"Bawana, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,31.9,69.0,2.2,326.0,0.0,0.0,6.0,991.0,,toluene,10.7,"Bawana, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,pm10,86.0,"Alipur, Delhi - DPCC",0
site_1420,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.4,74.0,1.4,59.0,0.0,0.0,8.0,980.0,,co,0.4,"Ashok Vihar, Delhi - DPCC",0
site_5024,Delhi,Delhi,"Alipur, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,32.9,69.0,,88.0,0.0,0.0,5.0,973.0,,so2,8.8,"Alipur, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-07-03 00:00:00+00:00,2024-07-03 00:00:00+00:00,33.1,71.0,0.3,38.0,,0.0,8.0,736.0,,toluene,61.0,"Anand Vihar, Delhi - DPCC",0
