station_id,state,city,station_name,timestamp,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,pollutant,value,station,hour,day_of_week,season,time_of_day,value_normalised
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,10.62,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.021343364647663492
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,821.5,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.8222464667494094
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm25,626.56,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.627811901922865
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,co,3.05,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.06103662197318391
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no,92.06,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.1841773544888853
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:00:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no2,24.3,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.04863933999479365
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,co,3.11,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.06223734240544326
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,pm10,928.12,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.9289646474756776
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,ozone,9.59,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.01927138862625978
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2024-11-02 00:15:00+00:00,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,0.0,125.00755508040508,930.1757989062027,no2,25.51,"Burari Crossing, Delhi - IMD",0,5,autumn,night,0.05106229600112137
