station_id,state,city,station_name,timestamp,year,month,day,hour,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,sr_w_mt2,bp_mmhg,benzene,co,eth_benzene,mp_xylene,nh3,no,no2,ozone,pm10,pm25,so2,toluene,xylene
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 00:00:00+00:00,2025,11,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,4.58,,,,,11.17,13.35,326.93,168.02,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 00:15:00+00:00,2025,11,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,4.37,,,,,11.51,13.31,319.14,165.88,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 00:30:00+00:00,2025,11,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,3.7,,,,,15.23,13.03,315.33,161.79,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 00:45:00+00:00,2025,11,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,3.4,,,,,19.4,11.78,311.78,160.14,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 01:00:00+00:00,2025,11,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,3.29,,,,,19.83,12.47,303.91,154.67,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 01:15:00+00:00,2025,11,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.67,,,,,26.06,10.72,287.07,149.0,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 01:30:00+00:00,2025,11,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.44,,,,,25.61,10.78,264.45,140.89,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 01:45:00+00:00,2025,11,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.79,,,,,21.62,11.6,250.01,136.47,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 02:00:00+00:00,2025,11,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.55,,,,,22.79,12.17,248.0,137.27,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 02:15:00+00:00,2025,11,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.74,,,,,18.78,12.25,243.28,135.8,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 02:30:00+00:00,2025,11,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.47,,,,,17.24,11.23,239.42,130.63,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 02:45:00+00:00,2025,11,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.31,,,,,14.21,10.74,234.81,121.22,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 03:00:00+00:00,2025,11,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.35,,,,,13.82,10.45,230.13,115.8,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 03:15:00+00:00,2025,11,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,2.08,,,,,14.7,11.25,219.59,118.83,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 03:30:00+00:00,2025,11,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,1.87,,,,,15.3,10.74,209.44,122.8,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-11-01 03:45:00+00:00,2025,11,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,1.91,,,,,14.44,10.8,208.34,122.27,,,
