station_id,state,city,station_name,timestamp,year,month,day,hour,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,sr_w_mt2,bp_mmhg,benzene,co,eth_benzene,mp_xylene,nh3,no,no2,ozone,pm10,pm25,so2,toluene,xylene
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 00:00:00+00:00,2025,6,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.75,,,,19.79,62.69,20.88,154.18,35.2,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 00:15:00+00:00,2025,6,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.73,,,,15.54,57.79,27.6,154.14,35.41,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 00:30:00+00:00,2025,6,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.69,,,,13.13,46.52,34.44,156.61,38.53,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 00:45:00+00:00,2025,6,1,0,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.68,,,,17.18,37.97,45.01,158.7,32.64,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 01:00:00+00:00,2025,6,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.76,,,,30.8,61.26,16.86,157.5,38.83,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 01:15:00+00:00,2025,6,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.7,,,,18.81,52.84,24.39,154.75,41.22,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 01:30:00+00:00,2025,6,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.68,,,,11.75,42.32,32.74,148.6,44.29,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 01:45:00+00:00,2025,6,1,1,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.71,,,,14.1,43.16,22.99,140.93,39.06,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 02:00:00+00:00,2025,6,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.68,,,,13.47,39.39,25.66,135.46,34.03,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 02:15:00+00:00,2025,6,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.72,,,,13.71,42.67,25.96,137.35,32.22,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 02:30:00+00:00,2025,6,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.77,,,,17.13,47.49,18.0,135.49,34.01,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 02:45:00+00:00,2025,6,1,2,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.72,,,,15.43,44.42,20.55,141.23,36.53,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 03:00:00+00:00,2025,6,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.75,,,,16.41,45.8,19.13,142.96,40.07,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 03:15:00+00:00,2025,6,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.72,,,,16.63,47.02,18.79,141.75,48.55,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 03:30:00+00:00,2025,6,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.77,,,,17.31,47.85,17.68,136.42,53.86,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 03:45:00+00:00,2025,6,1,3,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.77,,,,18.85,48.44,16.53,132.88,65.65,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 04:00:00+00:00,2025,6,1,4,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.79,,,,18.48,46.78,16.9,134.22,70.34,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 04:15:00+00:00,2025,6,1,4,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.76,,,,16.19,46.11,17.8,132.87,61.5,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 04:30:00+00:00,2025,6,1,4,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.73,,,,16.21,45.31,18.83,128.42,46.01,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 04:45:00+00:00,2025,6,1,4,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.77,,,,18.45,45.66,17.3,119.56,37.47,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 05:00:00+00:00,2025,6,1,5,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.77,,,,20.2,43.67,16.32,114.73,36.37,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 05:15:00+00:00,2025,6,1,5,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.73,,,,18.1,41.5,16.3,127.96,37.46,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 05:30:00+00:00,2025,6,1,5,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.75,,,,17.42,40.01,16.45,134.49,35.45,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 05:45:00+00:00,2025,6,1,5,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.69,,,,14.39,36.63,21.27,127.88,36.1,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 06:00:00+00:00,2025,6,1,6,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.67,,,,14.49,38.21,23.2,114.83,40.07,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 06:15:00+00:00,2025,6,1,6,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.68,,,,15.39,40.84,22.63,111.03,38.18,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 06:30:00+00:00,2025,6,1,6,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.68,,,,15.71,42.95,23.39,112.47,34.56,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 06:45:00+00:00,2025,6,1,6,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.7,,,,15.83,42.49,23.15,115.82,31.76,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 07:00:00+00:00,2025,6,1,7,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.75,,,,16.31,42.93,22.66,126.34,31.37,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 07:15:00+00:00,2025,6,1,7,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.71,,,,15.3,40.78,25.97,125.65,31.8,,,
site_104,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2025-06-01 07:30:00+00:00,2025,6,1,7,25.761742569327406,63.614580798613304,1.286360586471486,150.75862552083802,0.033737695786758885,125.00755508040508,930.1757989062027,,0.68,,,,12.09,34.97,34.35,119.05,33.08,,,
